root,meaning
gʷʰeiə- : gʷʰī-,tendon
gʷʰel-,to want
gʷʰel-,wish
ǵʰu̯el-,to bend
ǵʰu̯el-,swerve
ǵʰu̯elg-,to glance
ǵʰu̯elg-,look at
ǵʰu̯en-,to sound
1. gʷʰen-,to swell
1. gʷʰen-,abound
2. gʷʰen(-ə)-,to hit
2. gʷʰen(-ə)-,strike
2. gʷʰen(-ə)-,fend
ǵʰu̯ē̆r-,wild animal
gʷʰer-,warm
gʷʰer-,hot
ǵʰu̯oigʷ-,to shine; star
gʷʰrē-,to scent
gʷʰrē-,smell
gʷʰren-,diaphragm; mind
gʷʰren-,soul
ʰā̆,(surprise: ha! oh!)
ʰa ʰa!,(laughter)
"īl-, īlu-",dirt
"īl-, īlu-",mud; black
īli-,groin
īli-,intestines
i̯ā- : i̯ō-,to punish
i̯ā- : i̯ō-,be angry
i̯ā- : i̯ō-,excited
i̯ag-,to worship
i̯ag-,venerate
i̯agʰ-,to hunt
i̯agʰ-,wish for
i̯ē- : i̯ə-,to do
i̯ē- : i̯ə-,throw
i̯ē- : i̯ə-,project
i̯eg-,ice
i̯eg-,icicle
i̯ēgʷā,force
i̯ēgʷā,strength
i̯ek-,to speak
i̯ēk- : i̯ək-,to heal
"i̯ē̆kʷ-r̥(t-), genitive i̯ekʷ-n-és",liver
iēlo- : i̯əlo-,raw
iēlo- : i̯əlo-,unripe
i̯em-,to hold
i̯em-,match
i̯em-,defeat
i̯em-,geminate; twin
i̯es-,to boil
i̯es-,foam up
i̯et-,to set out
i̯et-,strive for
1. i̯eu-,to mix
1. i̯eu-,mingle (of meal preparation)
"2. i̯eu-, i̯eu̯ə-, i̯eu-g-",to yoke
"2. i̯eu-, i̯eu̯ə-, i̯eu-g-",join
"2. i̯eu-, i̯eu̯ə-, i̯eu-g-",tie together
3. i̯eu-,young
4. i̯eu-,to separate
4. i̯eu-,hold apart
i̯eu-dʰ-,to fight
i̯eu-dʰ-,move swiftly
i̯euǵ-,to excite
i̯euǵ-,arouse; unsteady
"i̯eu-ni-, or i̯ou-ni-",the right place/way
i̯eu̯o-,grain
i̯eu̯o-,esp. barley
i̯eu̯os-,rule
i̯eu̯os-,right
i̯eu̯os-,justice
i̯eu̯os-,statute
i̯oi-ni-,reed (bulrush)
i̯ork-,(type of deer)
i̯ō[u]s- : i̯ūs-,belt; to gird
1. i̯u-,you (plural)
2. i̯ū̆,yowl (exclamation of joy/wonder)
kā-,to like
kā-,wish
kā-,desire
"kā̆, ke, kom",well! (particle)
kā̆d-,to rob
kā̆d-,harm
kā̆d-,damage; chase
kadʰ-,to guard
kadʰ-,cover
kadʰ-,protect
1. ḱad-,to fall
2. ḱad-,to shine
2. ḱad-,sparkle
ḱād- : ḱədes- : ḱəd-s-,hate
ḱād- : ḱədes- : ḱəd-s-,displeasure
ḱād- : ḱədes- : ḱəd-s-,uneasiness
"kaǵo-, masc., kaǵā- fem.",goat
kagʰ- : kogʰ-,to sew
kagʰ- : kogʰ-,plait
kagʰ- : kogʰ-,etc.
kagʰlo-,chalk
kagʰlo-,pebble
"1. kai-, kai-u̯o-, kai-u̯elo-",alone
2. kai,and
"3. kā̆i-, kī̆-",heat
kai-ko-,one-eyed
kai-ko-,cyclopean
"kaiḱ-, or koiḱ-",to itch
"kaiḱ-, or koiḱ-",scratch
"kai-lo-, kai-lu-",bright; hale
"kai-lo-, kai-lu-",whole
"kai-lo-, kai-lu-",healthy
kais-,hair
kaito-,chet
kaito-,woods
kaito-,forest
"kaiu̯r̥-t, kaiu̯n̥-t",cleft
"kaiu̯r̥-t, kaiu̯n̥-t",hollow
"kaiu̯r̥-t, kaiu̯n̥-t",ravine
kakka-,to cack
kakka-,defecate (nursery word)
kāk-,to croak; cracking sound
1. ḱak-,to become thin
"2. ḱak-, ḱek-?",to help
"2. ḱak-, ḱek-?",enable
"1. ḱāk- : ḱək-, probably ḱā[i]k- : ḱīk-",to jump
"1. ḱāk- : ḱək-, probably ḱā[i]k- : ḱīk-",spring out
2. ḱā̆k-,branch
1. kal-,hard
1. kal-,callous; blister
"2. kal-, kali-, kalu-",handsome
"2. kal-, kali-, kalu-",beautiful; healthy
"3. kā̆l-, kō̆l-?",to be captured; prison
kalni-,narrow path/passage
kam-er-,to bend
kam-er-,curve
kam-p-,to bend
kan-,to sing
kan-,chant
kan-,sound
"kand-, skand-, and Indo-Iranian (s)kend-",to glow
"kand-, skand-, and Indo-Iranian (s)kend-",shine; bright
"kand-, skand-, and Indo-Iranian (s)kend-",candent
kan-tʰo-,curve
kan-tʰo-,angle
kan-tʰo-,corner
kap-,to cop
kap-,grab
kap-,grasp; have?
"kāp-, kəp-",piece of land
kā̆po-,thing in the water
kapro-,he-goat
kap-ut,head
"kā̆pʰo-, or ḱō̆pʰo-",hoof
1. kar-,to scold
1. kar-,punish
1. kar-,revile
"2. kar-, karə-",to glorify
"2. kar-, karə-",praise aloud
"3. kar-, reduplicated karkar-",hard
kār-,wax
kars-,to rub
kars-,scratch
"ḱas-, ḱas-no-",gray
"ḱās-, ḱəs-",to teach
"ḱās-, ḱəs-",show the way
1. kat-,to link
1. kat-,plait
1. kat-,weave; chain
1. kat-,net
2. kat-,to bear young; young animal
ḱat-,to fight
ḱat-,struggle; battle
kau-,to humble
kau-,discourage
"kāu-, kəu-",to hew
"kāu-, kəu-",cut
"kāu-, kəu-",hit
"kā̆u-, kē̆u-, kū-",to howl
kā̆u(ə)lā : kūlā,boil
kā̆u(ə)lā : kūlā,abscess
kā̆u(ə)lā : kūlā,swelling
"kau-l-, ku-l-",hole
"kau-l-, ku-l-",hollow; bone
kaus-,to draw lots
ked-,to smoke
"keg-, keng-, and kek-, kenk-",peg
"keg-, keng-, and kek-, kenk-",handle
"keg-, keng-, and kek-, kenk-",(grappling) hook
kēi-,to move
kēi-,set in motion
1. ḱei-,to lie
1. ḱei-,recline; camp
1. ḱei-,home
2. ḱei-,(dark color: brown
2. ḱei-,gray)
ḱē(i)- : ḱō(i)- : ḱə(i)-,to hone
ḱē(i)- : ḱō(i)- : ḱə(i)-,whet
ḱē(i)- : ḱō(i)- : ḱə(i)-,sharpen
ḱēi-bʰ-,fast
ḱēi-bʰ-,hasty
ḱēi-bʰ-,violent
keid-,to fall
ḱēi-gʰ-,fast
ḱēi-gʰ-,hasty
ḱēi-gʰ-,violent
ḱeip-,to slant
ḱeip-,slope; to wag
ḱeip-,wave
"ḱeipo-, ḱoipo-",peg
"ḱeipo-, ḱoipo-",stake
"ḱeipo-, ḱoipo-",sharp wood/stone chip/piece
keis-,arm; thigh
keis-,shin
keḱ-,weasel
keku-,cudgel
keku-,hammer-shaped stick
ḱēko-,green grass/fodder
"1. kel-, kelə-",to project
"1. kel-, kelə-",tower up; hill
2. kel-,to stab
2. kel-,stick
2. kel-,sting
"3. kel-, kelə-, klā-, extended klād-",to hit
"3. kel-, kelə-, klā-, extended klād-",hew
"3. kel-, kelə-, klā-, extended klād-",cut down
"4. kel-, and kāl-",light and dark spots
5. kel-,to drive
5. kel-,compel
5. kel-,accelerate
5. kel-,move quickly
"6. kel-, k(<sub>e</sub>)lē-, k(<sub>e</sub>)lā-, or kl̥̄-?",to call
"6. kel-, k(<sub>e</sub>)lē-, k(<sub>e</sub>)lā-, or kl̥̄-?",cry
"7. kel-, kol-, k<sub>o</sub>l-",calix
"7. kel-, kol-, k<sub>o</sub>l-",chalice
"7. kel-, kol-, k<sub>o</sub>l-",goblet
"7. kel-, kol-, k<sub>o</sub>l-",beaker
9. kel-,to owe
9. kel-,be guilty
10. kel-,to dry out
11. kel-,to bend; crooked
"kēl-, kōl-, kəl-",to deceive
"kēl-, kōl-, kəl-",dumbfound
"kēl-, kōl-, kəl-",enthrall
1. ḱel-,cold; warm
1. ḱel-,caloric
2. ḱel-,to bow
2. ḱel-,lean
2. ḱel-,incline
3. ḱel-,thin shaft
3. ḱel-,stalk
4. ḱel-,to hide
4. ḱel-,conceal
"ḱelb-, ḱelp-",to help
keleu-,to wander; way
keleu-,path
"k<sub>e</sub>ləu̯o-, k<sub>e</sub>leu̯o-",bald
"k<sub>e</sub>ləu̯o-, k<sub>e</sub>leu̯o-",bare
kelg-,to wind around; windings
kelg-,intrigue
"kelp-, kl̥p-",jug
"kelp-, kl̥p-",pot
"kelp-, kl̥p-",cauldron
1. kem-,to squeeze
1. kem-,hem in
1. kem-,press together
2. kem-,to hum
2. kem-,buzz
2. kem-,croon
"1. ḱem-, or ḱam-",horn
"1. ḱem-, or ḱam-",pole
"1. ḱem-, or ḱam-",stick
2. ḱem-,hornless (normally horned) animal
3. ḱem-,to wrap
3. ḱem-,cover
3. ḱem-,conceal
4. ḱem(ə)-,to be/make tired
"kemə-, komə-, kmā-",bite
"kemə-, komə-, kmā-",piece
k<sub>e</sub>mer-,armored animal (crab
k<sub>e</sub>mer-,turtle
k<sub>e</sub>mer-,etc.)
1. ken-,to pinch
1. ken-,press
1. ken-,etc.
"2. ken-, kenə-, keni-, kenu-",to rub
"2. ken-, kenə-, keni-, kenu-",scrape
"2. ken-, kenə-, keni-, kenu-",scratch off; ashes
3. ken-,to begin
3. ken-,be born
3. ken-,come forth anew; young
3. ken-,recent
4. ken-,to strain
4. ken-,strive eagerly
ḱen-,void
ḱen-,empty
k<sub>e</sub>nəkó-,golden
k<sub>e</sub>nəkó-,honey-colored
1. kenk-,to bind
1. kenk-,gird
2. kenk-,to burn
2. kenk-,hurt; dry feeling: thirst
2. kenk-,hunger
3. kenk-,heel
3. kenk-,hock
3. kenk-,back of knee
"ḱenk-, ḱonk-",to hang
"ḱenk-, ḱonk-",sway
"ḱenk-, ḱonk-",dangle
ḱens-,to announce
ḱens-,proclaim
ḱens-,speak formally
kentʰ(o)-,rag
kentʰ(o)-,cloth
ḱent-,to stab
ḱent-,stick
"1. ker-, kor-, kr-",(onomatopoeic: hoarse sound)
3. ker(ə)-,to burn
4. ker-,cherry
"5. ker-?, kō̆r-",to hang
"6. ker-, and ḱer-",dirty
"6. ker-, and ḱer-",dark-colored
"6. ker-, and ḱer-",etc.
"1. ḱer-, ḱerə- : ḱrā-, ḱerei-, ḱereu-",horn
"1. ḱer-, ḱerə- : ḱrā-, ḱerei-, ḱereu-",head
"1. ḱer-, ḱerə- : ḱrā-, ḱerei-, ḱereu-",upper part of body
"2. ḱer-, ḱerə-, ḱrē-",to grow
"2. ḱer-, ḱerə-, ḱrē-",increase
3. ḱer-,rope
3. ḱer-,string; to plait
3. ḱer-,weave
"4. ḱer-, and ḱerə- : ḱrē-",to harm
"4. ḱer-, and ḱerə- : ḱrē-",injure; ruined
"4. ḱer-, and ḱerə- : ḱrē-",spoiled
"ḱerbero-, and kerbero-",checkered
"ḱerbero-, and kerbero-",variegated
1. kerd-,to gird
2. kerd-,craft
2. kerd-,talent; skilled
"ḱerdʰo-, ḱerdʰā",line
"ḱerdʰo-, ḱerdʰā",row
"ḱerdʰo-, ḱerdʰā",herd
"ḱered- : ḱerd-, ḱērd-, ḱr̥d-, ḱred-",heart
"kerem-, krem- : krom-, and kerm-",onion or garlic; ash (tree)
"kerəp-, krēp-",cloth
"kerəp-, krēp-",leather rag; shoe
kerḱ- : korḱ- : kr̥ḱ-,to wrinkle
kerḱ- : korḱ- : kr̥ḱ-,shrivel up
"ḱerə-, ḱrā-",to cook
kerm-,to rest
kerm-,tire
kerno-,jaw
kerno-,chin(bone)
ḱē-ro-,colorful (or a color term)
kers-,black
kers-,dirty; dark color
1. ḱer(s)-,bristle
1. ḱer(s)-,stiff hair
2. ḱers-,to run
2. ḱers-,course
"kert-, kerət-, krāt-",to roll
"kert-, kerət-, krāt-",turn
"kert-, kerət-, krāt-",wind
kes-,to comb
kes-,itch
kes-,scratch
ḱes-,to cut
"kē̆t-, kot-",room
"kē̆t-, kot-",dwelling place
"1. keu-, skeu-, lengtʰened grade kēu-",to see
"1. keu-, skeu-, lengtʰened grade kēu-",hear
"1. keu-, skeu-, lengtʰened grade kēu-",observe
"1. keu-, skeu-, lengtʰened grade kēu-",hearken
"1. keu-, skeu-, lengtʰened grade kēu-",attend to
"2. keu-, keu̯ə-",to bend
"1. ḱeu-, ḱeu̯ə- : ḱū-, ḱu̯ā-",to swell
2. ḱeu-,to shine
2. ḱeu-,be bright
1. ḱēu- : ḱū-,to sway
1. ḱēu- : ḱū-,totter
"2. ḱēu- : ḱəu-, ḱū-",to burn
"2. ḱēu- : ḱəu-, ḱū-",light (a fire)
ḱeub-,thorn
"keuəd-, kū̆d-",to cry
"keuəd-, kū̆d-",shout
"keu̯əp- : ku̯ēp-, ku̯əp-, kū̆p-, and occasionally keu̯(e)p-, k(e)u̯ep-",to boil
"keu̯əp- : ku̯ēp-, ku̯əp-, kū̆p-, and occasionally keu̯(e)p-, k(e)u̯ep-",cook
"keu̯əp- : ku̯ēp-, ku̯əp-, kū̆p-, and occasionally keu̯(e)p-, k(e)u̯ep-",smoke
"ḱēu̯ero-, ḱōu̯ero-, also sḱūro-?",north (wind)
ḱeuk-,to glow
ḱeuk-,shine
ḱeuk-,be bright white
"ḱeuḱ-, ḱuḱ-",to whirl
"ḱeuḱ-, ḱuḱ-",mix together
kik-,jay (bird)
1. ḱik-,belt
1. ḱik-,strap
1. ḱik-,thong
2. ḱī̆k-,to rain
2. ḱī̆k-,drizzle
ḱiḱer-,pea
"ḱīō̆n-, ḱīsō̆n-?",pillar
ḱipʰ-,thin flexible twig/root
kistā,basket
kistā,plaited container
klā-,to lade
klā-,place
klā-,heap up
klā-,lay down
klādʰrā,alder (tree)
klau-,to weep
"klēg-, klōg-, kləg-, klang-, kleg-, klōg-, kleig-, kleik-",to cry
"klēg-, klōg-, kləg-, klang-, kleg-, klōg-, kleig-, kleik-",shout
"klēg-, klōg-, kləg-, klang-, kleg-, klōg-, kleig-, kleik-",scream
ḱlei-,to lean
ḱlei-,incline
ḱlei-,tip (over)
kleiḱ-,to press/squeeze (painfully)
"kleng-, and klenk-",to bend
"kleng-, and klenk-",wind
kleno-,maple (tree)
klep-,wet
klep-,damp
"ḱlep-, sḱlep-?",to steal
"ḱlep-, sḱlep-?",cover
"ḱlep-, sḱlep-?",secrete
klēp-,to hold in arms and/or lap
"klēu-, also klĕu-?, and klāu-",hook
"klēu-, also klĕu-?, and klāu-",crook
"1. ḱleu-, ḱleu̯ə- : ḱlū-",to hear
"1. ḱleu-, ḱleu̯ə- : ḱlū-",listen
2. ḱleu- : *ḱlō[u]- : ḱlū-,to clean
2. ḱleu- : *ḱlō[u]- : ḱlū-,rinse
2. ḱleu- : *ḱlō[u]- : ḱlū-,swill
ḱlou-ni-,hip
ḱlou-ni-,buttock
"knei-gʷʰ-, knei-b-",to bow
"knei-gʷʰ-, knei-b-",kneel
kneug-,(onomatopoeic: to growl
kneug-,whimper)
"knid-, ḱnid-, sknid-",nit
"knid-, ḱnid-, sknid-",louse
"ḱo-, ḱe-, witʰ tʰe particle ḱe, ḱ(e)i-, ḱ(i)i̯o-",this; here
kob-,to fit
kob-,fare well
kob-,be happy/successful
"koi-, ku̯ī-",(creaking noise)
koi-lo-,naked; miserable
kois-,to cure
kois-,worry
kois-,care for
"ko ko, kak(k)-, ku(r)kur-",(onomatopoeic: sound of cock/hen)
koḱsā,body part: foot
koḱsā,coxa
koḱsā,etc.
kolə- : klō-,to spin
"ḱoləmo-s, ḱoləmā",reed
"ḱoləmo-s, ḱoləmā",stalk
"ḱoləmo-s, ḱoləmā",stem
"ḱoləmo-s, ḱoləmā",culm
kol(ē̆)i̯-,glue
kom,at
kom,by
kom,cum
kom,with
kom,alongside
"konəmo-, knāmo-, or k<sub>e</sub>nəmo-",shinbone
ḱonk-,to doubt
ḱonk-,vacillate
ḱonkʰo-,conch
ḱonkʰo-,clam(shell)
ḱonkʰo-,mussel
"ḱop(ʰ)elo-s, or ḱap(ʰ)elo-s",(type of carp)
kopso-,blackbird
ḱorkā,grit
ḱorkā,gravel
"ḱormno-, ḱr̥mno-",corrosive liquid: lye
"ḱormno-, ḱr̥mno-",wine
"ḱormno-, ḱr̥mno-",urine
"ḱormno-, ḱr̥mno-",etc.
ḱormo-,harm
ḱormo-,pain
ḱormo-,torment
ḱormo-,suffering
"koro-s, kori̯o-s",war
"koro-s, kori̯o-s",army
"koro-s, kori̯o-s",warrior
kos(e)lo-,hazel (tree)
kost-,leg
kost-,bone
kost-,costa
"ḱrā̆po-, ḱrō̆po-?",roof
krā[u]- : krəu- : krū̆-,to heap up
krā[u]- : krəu- : krū̆-,pile together; heap; roof
"ḱrebʰ-, ḱrō̆bʰ-, ḱrembʰ-",to entrust
kred-,beams
"1. kreg-, and kerg-?",to torment
1. krei-,to brush
1. krei-,stroke
1. krei-,touch
ḱrei-,to appear
ḱrei-,show forth
1. krek-,to hit
"2. krek-, kr̥k-",roe
"2. krek-, kr̥k-",fish/frog spawn
4. krē̆k- : krok-,to tower
4. krē̆k- : krok-,jut out; beams
"1. krep-, kr̥p-",form; corpse
"1. krep-, kr̥p-",body
1. krēp-,firm
1. krēp-,strong
1. kret-,to shake
2. kret-,to hit
"1. kreu-, kreuə- : krū-, kreus-, krus-",raw flesh
"1. kreu-, kreuə- : krū-, kreus-, krus-",thick/clotting blood; ice
"1. kreu-, kreuə- : krū-, kreus-, krus-",crust
2. kreu-,to crash
2. kreu-,collapse
2. kreu-,fall down
"3. kreu-, krou-s-",to push
"3. kreu-, krou-s-",hit
"3. kreu-, krou-s-",break
kreup-,scab
"kreu-t-, kreu-dʰ-?",to shake
"kreu-t-, kreu-dʰ-?",move visibly
krom-,lattice
krom-,framework
krom-,wooden fence
krom-,etc.
kr(o)k-sko-,arm
ḱrūs-,leg
ḱrūs-,shank
ḱrūs-,thigh
krū̆t-,breast
krū̆t-,belly; vault
krū̆t-,protuberance
ḱsā-,to burn
"kseip-, kseib-",to toss
"kseip-, kseib-",throw
ḱsē̆-ro-,dry
ḱsē̆-ro-,xeric
ḱsē̆-ro-,bright (of weather)
kseubʰ-,to sway
kseubʰ-,swing
kseubʰ-,totter
kseud-,to grind
kseud-,stamp to little pieces
ḱþei-,to settle
"kþē(i)-, kþə(i)-",to gain
"kþē(i)-, kþə(i)-",acquire
"kþē(i)-, kþə(i)-",possess
"ku-, kus-",to kiss
ḱū-,sharp
ḱū-,pointed; pike
ḱū-,stake
ḱū̆dʰ-,dirt
ḱū̆dʰ-,dung
kuku,(onomatopoeic: to coo
kuku,cuckoo)
ḱup-,shoulder
ku̯ak-,(onomatopoeic: to quack
ku̯ak-,croak)
ku̯at(ʰ)-,to ferment
ku̯at(ʰ)-,become sour
"1. ḱu̯ei-, ḱu̯ei-no-",dirt
"1. ḱu̯ei-, ḱu̯ei-no-",mud; to defile
2. ḱu̯ei-,to hiss
2. ḱu̯ei-,twitter
2. ḱu̯ei-,whistle
2. ḱu̯ei-,etc.
"3. ḱuei-, extended kuei-d-, kuei-s-, kuei-t-",to shine; white
"ḱu̯ek-, nasalized ḱu̯enk- : ḱuk-",to gape
ḱu̯el-,muddy
"ku̯elək-, or kelək-, kolək-",bale
"ku̯elək-, or kelək-, kolək-",bundle
"1. ku̯elp-, ku̯elb- : ku̯l̥p/b- : klup/b-",to stumble
"1. ku̯elp-, ku̯elb- : ku̯l̥p/b- : klup/b-",buckle at the knees; to trot
2. ku̯elp-,to curve
2. ku̯elp-,vault
ḱu̯en-,to celebrate; saint
"ḱu̯endʰ-ro-, -no-",(type of plant)
"ku̯erp-, also ku̯erb-",to turn
"ku̯erp-, also ku̯erb-",wind
"ḱu̯es-, ḱus-",to pant
"ḱu̯es-, ḱus-",puff
"ḱu̯es-, ḱus-",sigh
"ḱu̯es-, ḱus-",wheeze
"ku̯ēt-, ku̯ət- : kū̆t-",to shake
"ku̯ēt-, ku̯ət- : kū̆t-",winnow
"ku̯oi-, ku̯ī-",to want
"ku̯oi-, ku̯ī-",wish for
"ḱu̯on-, ḱun-",hound
"ḱu̯on-, ḱun-",dog
"ku̯res-, ku̯ers-, ku̯r̥s-",small wood
"ku̯res-, ku̯ers-, ku̯r̥s-",trees
kʰa kʰa,(laughter)
1. kʷe,(enclitic) and
"kʷē̆d-, kʷō̆d-",to bore
"kʷē̆d-, kʷō̆d-",drill
"kʷē̆d-, kʷō̆d-",prick
"kʷē̆d-, kʷō̆d-",stab
1. kʷei(-t)-,to observe with respect
1. kʷei(-t)-,pay attention to
2. kʷei-,to stow
2. kʷei-,gather
2. kʷei-,pile up
"kʷei̯ə-, kʷii̯ē-",to rest comfortably; quiet
"kʷei̯ə-, kʷii̯ē-",peaceful
"kʷei̯ə-, kʷii̯ē-",tranquil
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",show
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",appear
"1. kʷel-, kʷelə-",to turn; wheel; neck?
2. kʷel-,far away
3. kʷel-,crowd
3. kʷel-,herd
3. kʷel-,swarm
kʷentʰ-,to suffer
kʷentʰ-,endure
1. kʷer-,to do
1. kʷer-,make
1. kʷer-,form
2. kʷer-,dish
2. kʷer-,pot
"kʷetu̯er-, kʷetu̯ō̆r-, kʷ<sub>e</sub>tur- (masc.), kʷetes(o)r- (fem.)",four
"kʷetu̯er-, kʷetu̯ō̆r-, kʷ<sub>e</sub>tur- (masc.), kʷetes(o)r- (fem.)",fourth
"kʷo-, kʷe-, fem. kʷā, kʷei-",(indefinite/interrogative pronoun)
kʷrei-,to buy
kʷās- : kʷəs-,to cough
"1. lā-, and lē-",(onomatopoeic: to bark
"1. lā-, and lē-",howl
"1. lā-, and lē-",etc.)
2. lā-,to be hidden
2. lā-,covered
2. lā-,latent
"lab-, and labʰ-, lap(ʰ)-",to lap
"lab-, and labʰ-, lap(ʰ)-",lick
"lab-, and labʰ-, lap(ʰ)-",smack (the lips)
"lab-, and labʰ-, lap(ʰ)-",etc.
labʰ-,to grab
labʰ-,hold
labʰ-,seize
lā̆gʰ-,to cut; cutting tool
lai-,fat
lai-,lard
"laidʰ-, lidʰ-",to cut
"laidʰ-, lidʰ-",hurt
"laidʰ-, lidʰ-",injure
laiu̯o-,(on the) left
"lā[i]p-, ləip-, ləp-",to burn
"lā[i]p-, ləip-, ləp-",shine
lak-,to lap
lak-,lick
laḱ-,to spot
laḱ-,sprinkle
laku-,(water in) lake
laku-,pond
laku-,ditch
laku-,etc.
lāmā,swamp
lāmā,puddle
lāp-,cow
las-,greedy
las-,covetous
lat-,wet
lat-,damp; swamp
lāu-,to acquire (as booty)
lāu-,enjoy something
"lauk(o)-, ləuk-",jaw; throat
"lē̆b-, lō̆b-, lāb-, l<sub>e</sub>b-",lip; to slump
"lē̆b-, lō̆b-, lāb-, l<sub>e</sub>b-",hang down slackly
1. leg-,to leak
1. leg-,drip
1. leg-,dribble
1. leg-,ooze out
2. leg-,to worry
leǵ-,to gather
leǵ-,collect
legʰ-,to lie
legʰ-,recline
legʰ-,set down
1. lēǵ(ʰ)- : ləǵ(ʰ)-,branch
1. lēǵ(ʰ)- : ləǵ(ʰ)-,twig
2. lēǵʰ- : ləǵʰ-,to crawl; low
legʷʰ-,to move easily
2. lei-,to dissipate
2. lei-,disappear; thin
2. lei-,weak
3. lei-,slimy; to slip
3. lei-,glide
4. lē̆i-,to pour
1. lē[i]- : ləi-,to want
1. lē[i]- : ləi-,wish
2. lē(i)-,to grant/acquire possession
3. lē(i)-,to weaken
3. lē(i)-,leave behind; feeble
leid-,to play
leid-,joke
"1. leig-, and leik-, better oleig-, oleik-",needy
"1. leig-, and leik-, better oleig-, oleik-",miserable
"2. lē̆ig-, līg-",form
"2. lē̆ig-, līg-",appearance; like
"2. lē̆ig-, līg-",similar
"3. leig-, loig-",to hop
"3. leig-, loig-",jump
"3. leig-, loig-",tremble
"4. leig-, leiǵ-",to tie
"4. leig-, leiǵ-",bind
"4. leig-, leiǵ-",ligate
"leiǵʰ-, sleiǵʰ-",to lick
1. leik-,to offer for sale
2. leik-,to bend
leikʷ-,to leave
leikʷ-,relinquish
1. leip-,to smear (with fat)
1. leip-,stick
2. leip-,to desire
2. leip-,request
2. leip-,wish for
leis-,to furrow; learn
1. leit-,to loathe
1. leit-,detest
1. leit-,abhor; violate
2. leit(ʰ)-,to die
2. leit(ʰ)-,go away
"leizd-, loizd-",edge
"leizd-, loizd-",fringe
"leizd-, loizd-",hem
1. lek-? : lok-,to blame
1. lek-? : lok-,scold
1. lek-? : lok-,reprove
"2. lek- : l<sub>e</sub>k-, and lēk- : lək-",joint
"2. lek- : l<sub>e</sub>k-, and lēk- : lək-",leg
"2. lek- : l<sub>e</sub>k-, and lēk- : lək-",body member; to bend
"2. lek- : l<sub>e</sub>k-, and lēk- : lək-",wind
1. lēk- : lək-,tendril; trap
2. lēk- : lək-,to lacerate
2. lēk- : lək-,tear to pieces
1. lem-,to break
1. lem-,crush to pieces; lame
1. lem-,fragile
2. lem-,astonishment (with the notion of wide open jaws)
1. lendʰ-,spring (of water)
1. lendʰ-,wetness
2. lendʰ-,hip
2. lendʰ-,loins; kidney
3. lendʰ-,heath
3. lendʰ-,steppe
3. lendʰ-,open land
leng-,to sway
leng-,bend oneself
lengʰ-,to scold
lengʰ-,scorn
lenk-,to bend
lento-,lithe
lento-,flexible
lento-,pliable
1. lep-,(onomatopoeic root)
2. lep-,to flay
2. lep-,peel
2. lep-,skin
3. lep-,rock
3. lep-,stone
"lēp-, lōp-, ləp-",flat
lerd-,to twist
lerd-,shrivel up
lerg-,even
lerg-,smooth
lerg-,slippery
les-,to lease
les-,collect
les-,pick up
lēs : ləs-,weak
lēs : ləs-,slack
lēs : ləs-,feeble
"leto-, lēti-, lēto-, lōto-",heat
"leto-, lēti-, lēto-, lōto-",burning
"leto-, lēti-, lēto-, lōto-",anger
"lēto-, ləto-",daytime; summer
"lēto-, ləto-",warm season
letro-,leather
"1. leu-, *leu̯ə- : lū̆-",dirt
2. leu-,to free
2. leu-,cut off
2. leu-,separate
1. lēu-,to leave behind
2. lēu- : ləu-,stone
"3. lēu-, or lāu-",(onomatopoeic: to bark
"3. lēu-, or lāu-",howl
"3. lēu-, or lāu-",etc.)
leubʰ-,to love
leubʰ-,like
leubʰ-,care for
leud-,to lout
leud-,bend over
leud-,duck down; bent
leud-,little
leud-,etc.
1. leudʰ-,to grow up; free; people
1. leug-,to bend
2. leu-g- : lu-g- : lū-g-,blackish; swamp
leuǵ-,to break
1. leugʰ-,to lie
1. leugʰ-,belie
1. leugʰ-,prevaricate
"2. leugʰ-, lugʰ-",oath
leuk-,to light
leuk-,shine; see
"leup-, and leub-, leubʰ-",to lift
"leup-, and leub-, leubʰ-",peel
"leup-, and leub-, leubʰ-",cut/break off
"leup-, and leub-, leubʰ-",etc.
lēut- : lūt-,angry
lēut- : lūt-,raging
lēut- : lūt-,wrathful
lī̆-no-,flax
lī̆-no-,linen
loǵ-,rod
loǵ-,twig
"lorgā-, lorgi-",stick
"lorgā-, lorgi-",club
"lou-, lou̯ə-",to lave
"lou-, lou̯ə-",wash
"lū̆s, genitive luu̯-ós",louse
1. mā-,to beckon
1. mā-,wave (hand); deceive
2. mā-,timely
2. mā-,opportune
3. mā,ma
3. mā,mama (nursery words)
mad-,to drip; wet; fat
mad-,glossy
mad-,well-fed
magʰ- : māgʰ-,to help
magʰ- : māgʰ-,be able; might
magʰ- : māgʰ-,power
magʰos,maiden
magʰos,young person
maǵ-,to knead
maǵ-,press
maǵ-,stroke
maǵʰ-,to fight
maǵʰ-,struggle
1. mai-,to maim
1. mai-,hew
1. mai-,cut with sharp instrument
"2. mai-, moi-?",to smudge
"2. mai-, moi-?",stain
mak-,skin
mak-,leather bag
1. mā̆k-,wet
1. mā̆k-,damp; to soak
2. māk-,to knead
2. māk-,press
mā̆k(en)-,poppy
